"Location/Name","Address","Use","FY","OR","Loan/Grant","Type","IncentiveTerm","Total Project Cost","Leveraged Investment","Direct City Incentive","Projected   Incentive over Term","Total City Incentive over Term","Projected Gross Revenue Over Term","Projected Net Revenue over Term","Job Creation","Jobs Retained","Commercial SF","Housing Units"
"The Delish Dish LLC","1032 Madison Ave","Small Business",NA,NA,"Forgiveable Grant","Emergency Grant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sodam Inc","512 Madison Ave","Small Business",NA,NA,"Forgiveable Grant","Emergency Grant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anchor Grill LLC","438 Pike Street","Small Business",NA,NA,"Forgiveable Grant","Emergency Grant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Luis Potosi LLC","801 Madison Ave","Small Business",NA,NA,"Forgiveable Grant","Emergency Grant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rich's Proper Food and Drink LLC","703 Madison Ave","Small Business",NA,NA,"Forgiveable Grant","Emergency Grant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Protective Life","50 E Rivercenter Blvd","JDI","21","008-21","Payroll Incentive","JDI","12",18325430,18325430,0,990159,990159,5734886,4744727,255,0,67000,0
"KCC - State Lease Renewal","1324 Madison Avenue","Real Estate","21","021-21","N/a","Real Estate","5",1386678,1386678,0,0,0,1386678,1386678,0,NA,NA,NA
"KCC - NKADD Lease Renewal","1324 Madison Avenue","Real Estate","21","022-21","N/a","Real Estate","5",997900,997900,0,0,0,997900,997900,0,NA,NA,NA
"Covington Montessori","131 E 5th Street","Real Estate","21","026-21","TIF","Real Estate","1",523000,5e+05,23000,0,23000,11240,11240,9,0,NA,NA
"First Financial Bank","601 Madison Ave","Real Estate","21","030-21","TIF","Real Estate","1",3425000,3400000,25000,0,25000,24990,24990,12,0,10000,0
"303 Court Apartments","303 Court Street","Real Estate","21","032-21","TIF & IRB","Real Estate","20",31430343,31430343,5e+05,1386430,1886430,1657300,1657300,0,0,6000,133
"Gabe of KY, LLC","3938 Decoursey Ave","Small Business","21","038-21","Grant","Façade","3",12250,6250,6000,0,6000,0,0,0,NA,NA,NA
"Pike Partners LLC","34 W Pike Street","Small Business","21","039-21","Grant","Façade","3",36750,30750,6000,0,6000,0,0,0,NA,2940,NA
"Pike Partners LLC","36 W Pike Street","Small Business","21","040-21","Grant","Façade","3",27000,21000,6000,0,6000,0,0,0,NA,9090,NA
"RP Prop OZ LLC","314 Greenup","Small Business","21","041-21","Grant","Façade","3",122700,116700,6000,0,6000,0,0,0,NA,4940,NA
"Hangry Omars, LLC","401 Greenup St","Small Business","21","042-21","Grant","Rent Subsidy","3",63000,57000,6000,0,6000,0,0,5,0,200,NA
"Mr. Bulgogi LLC","401 Greenup St","Small Business","21","043-21","Grant","Rent Subsidy","3",68000,62000,6000,0,6000,0,0,4,0,200,NA
"Sandra Stonebraker","323 W 6th St","Small Business","21","118-21","Grant","Façade","3",1700,850,850,0,850,0,0,NA,NA,NA,NA
"Tischbein Properties LLC","802 Scott St","Small Business","21","116-21","Grant","Façade","3",12000,6000,6000,0,6000,0,0,NA,NA,NA,NA
"Womens Crisis Center Inc","835 Madison Ave","Small Business","21","117-21","Grant","Façade","3",98595,92595,6000,0,6000,0,0,NA,NA,NA,NA
"Christopher Green","3426-3428 Decoursey Ave","Small Business","21","115-21","Grant","Façade","3",46480,40480,6000,0,6000,0,0,NA,NA,NA,NA
"Durham Brand & Co., LLC","523 Madison Ave","Small Business","21","111-21","Grant","Rent Subsidy","3",316000,310000,6000,0,6000,0,0,3,5,2900,NA
"East to Vest Productions L.L.C.","10 West Pike St","Small Business","21","112-21","Grant","Rent Subsidy","3",26600,20600,6000,0,6000,0,0,6,0,700,NA
"soHza LLP","610 Main St","Small Business","21","113-21","Grant","Rent Subsidy","3",27545,21545,6000,0,6000,0,0,2,0,975,NA
"WineCats LLC","8 W Pike St","Small Business","21","114-21","Grant","Rent Subsidy","3",1e+05,94000,6000,0,6000,0,0,4,0,1500,NA
"Covington Investment Partners LLC","722 Scott Street","Real Estate","21","120-21","Vacant","Real Estate","5",2300000,2300000,0,127523,127523,249945,122422,0,0,11000,0
"Deanhouston","525 Scott Street","JDI","22","191-21","Payroll Incentive","JDI","10",1825000,1825000,0,243800,243800,1082900,839100,56,0,12000,0
"Tippcork Rooksey","106 E 4th Street","Small Business","22","195-21","Grant","Façade","3",47075,43000,4075,0,4075,0,0,3,2,5300,0
"Juan & Rachel Hiraldo","613 Main Street","Small Business","22","196-21","Grant","Façade","3",16000,10000,6000,0,6000,0,0,2,NA,0,NA
"Main Street Medical","924 Main Street","Small Business","22","197-21","Grant","Façade","3",8600,4300,4300,0,4300,0,0,0,0,0,NA
"Kathleen Jones","120 W 5th Street","Small Business","22","198-21","Grant","Façade","3",25000,19000,6000,0,6000,0,0,0,0,0,NA
"CB Property Holding","533 Pike Street","Real Estate","22","207-21","Vacant","Real Estate","5",337000,337000,0,61250,61250,120050,58800,0,0,11000,0
"RP Prop OZ LLC","419 Greenup","Real Estate","22","222-21","Grant","TIF","2",1745140,1700000,45140,0,45140,101253,101253,18,0,13000,0
"Schreiber Family Trust","212 W Pike Street","Small Business","22","WAIT","Grant","Façade","3",16097,10097,6000,0,6000,0,0,0,0,850,0
"Lewisburg Gateway LLC","713 Pike Street","Small Business","22","WAIT","Grant","Façade","3",16940,10940,6000,0,6000,0,0,0,0,1000,0
"Inspired Fashion","827 Madison Avenue","Small Business","22","WAIT","Grant","Rent Subsidy","3",22400,17300,5100,0,5100,0,0,1,0,1200,0
"Painted Bread Marketing","11 E 5th Street","Small Business","22","WAIT","Grant","Rent Subsidy","3",38500,32500,6000,0,6000,0,0,2,0,800,0
"Two Rivers","525 Scott","Real Estate","22","44734","IRB","Real Estate","30",12688072,12688072,0,520257,520257,7454726,7454726,114,0,34080,0
"BrandFuel Rent","15-17 W Pike","Small Business","22","46-22","Grant","Rent Subsidy","3",72600,66600,6000,0,6000,0,0,2,8,2500,0
"Mark Kohlhas","15-17 W Pike","Small Business","22","47-22","Grant","Façade","3",3668,1834,1834,NA,1834,NA,NA,NA,NA,NA,NA
"Ganote Façade","604 W 12th Street","Small Business","22","48-22","Grant","Façade","3",7886,3943,3943,0,3943,0,0,0,0,0,0
"The Empanada's Box","212 W. Pike Street","Small Business","22","102-22","Grant","Rent Subsidy","3",26000,20000,6000,NA,6000,NA,NA,3,3,1200,NA
"Cut & Smoke Lounge","417 Scott Street","Small Business","22","103-22","Grant","Rent Subsidy","3",31000,25000,6000,NA,6000,NA,NA,3,NA,4800,NA
"Roller Chiropractic","140 W. Pike Street","Small Business","22","104-22","Grant","Rent Subsidy","3",65000,59000,6000,NA,6000,NA,NA,4,1,1500,NA
"She Said Properties LLC","629 Main Street","Small Business","22","105-22","Grant","Façade","3",11316,5661,5655,NA,5655,NA,NA,NA,NA,NA,NA
"Laible Auto Repair","4002 Decoursey Avenue","Small Business","22","106-22","Grant","Façade","3",13813,7813,6000,NA,6000,NA,NA,NA,NA,NA,NA
"MLG Development LLC","327 W Pike Street","Small Business","22","112-22","Grant","Façade","3",15500,9500,6000,NA,6000,NA,NA,NA,NA,NA,NA
"TPT Playground LLC","118 W. 15th Street","Small Business","22","107-22","Grant","Façade","3",22488,16488,6000,NA,6000,NA,NA,NA,NA,NA,NA
